ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,1994,2420,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,1995,4382,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,1996,2119,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,1997,8443,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,1998,3251,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,1999,1890,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2000,363,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2001,3510,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2002,5463,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2003,3993,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2004,2524,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2005,3998,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2006,5359,0.76,-99,0,0,0.14,0.69,0.16,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2007,178,-99,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Fall-run,,2013,2489,-99,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1981,1089,0.343,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1982,522,0.646,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1983,1837,0.475,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1984,1211,0.475,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1985,561,0.476,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1986,702,0.363,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1987,1400,0.476,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1988,1940,0.475,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1989,1376,0.302,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1990,1557,0.374,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1991,1888,0.282,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1992,4451,0.282,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1993,3429,0.282,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1994,2309,0.283,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1995,1503,0.278,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1996,2561,0.272,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1997,3301,0.283,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1998,2615,0.268,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,1999,2032,0.286,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2000,1986,0.284,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2001,2445,0.404,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2002,1262,0.82,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2003,1197,0.88,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2004,2698,0.85,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2005,1653,0.85,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2006,1349,0.896,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2007,1410,0.925,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2008,4965,0.548,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2009,1821,0.47,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2010,6076,0.229,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2011,3434,0.335,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2012,4024,0.763,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2013,2413,0.907,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Sandy River,Chinook,Spring-run,,2014,1658,0.871,-99,-99,-99,-99,-99,-99,-99,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1964,2494,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1965,1465,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1966,1348,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1967,1562,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1968,2515,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1969,2548,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1970,4170,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1971,5729,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1972,6597,-99,-99,0,-99,-99,-99,-99,0,-99
